cid,complexity,inchi,isosmiles,canonicalsmiles,inchikey,iupacname,Melting Point 1
21013,143,"InChI=1S/C6H2Cl4O/c7-2-1-3(11)5(9)6(10)4(2)8/h1,11H",C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,RULKYXXCCZZKDZ-UHFFFAOYSA-N,"2,3,4,5-tetrachlorophenol","241 °F (NTP, 1992)"
21954,143,"InChI=1S/C4H4N2O2/c7-3-1-2-4(8)6-5-3/h1-2H,(H,5,7)(H,6,8)",C1=CC(=O)NNC1=O,C1=CC(=O)NNC1=O,BGRDGMRNKXEXQD-UHFFFAOYSA-N,"1,2-dihydropyridazine-3,6-dione","greater than 572 °F (decomposes) (NTP, 1992)"
26665,143,"InChI=1S/C6H2Br4O/c7-2-1-3(8)6(11)5(10)4(2)9/h1,11H",C1=C(C(=C(C(=C1Br)Br)Br)O)Br,C1=C(C(=C(C(=C1Br)Br)Br)O)Br,CXPJZISGVIVNEL-UHFFFAOYSA-N,"2,3,4,6-tetrabromophenol",113.5 °C
61198,143,InChI=1S/C4H8N2O7/c7-5(8)12-3-1-11-2-4-13-6(9)10/h1-4H2,C(CO[N+](=O)[O-])OCCO[N+](=O)[O-],C(CO[N+](=O)[O-])OCCO[N+](=O)[O-],LYAGTVMJGHTIDH-UHFFFAOYSA-N,2-(2-nitrooxyethoxy)ethyl nitrate,Freezing point: -11.3 °C
220327,143,"InChI=1S/C7H5NOS/c8-5-10-7-3-1-6(9)2-4-7/h1-4,9H",C1=CC(=CC=C1O)SC#N,C1=CC(=CC=C1O)SC#N,FMRRFPFZGPDDLZ-UHFFFAOYSA-N,(4-hydroxyphenyl) thiocyanate,62 - 63 °C
3485262,143,"InChI=1S/2C3H7NS2.Zn/c2*1-4(2)3(5)6;/h2*1-2H3,(H,5,6);/q;;+2/p-2",CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],DUBNHZYBDBBJHD-UHFFFAOYSA-L,"zinc;N,N-dimethylcarbamodithioate","482 °F (NTP, 1992)"
11022444,143,InChI=1S/2CNO.Hg/c2*1-2-3;,C(#[N+][O-])[Hg]C#[N+][O-],C(#[N+][O-])[Hg]C#[N+][O-],MHWLNQBTOIYJJP-UHFFFAOYSA-N,dioxycyanomercury,Explodes
76223581,143,"InChI=1S/C7H13NO2/c1-3-4-5(2)6(8)7(9)10/h6H,2-4,8H2,1H3,(H,9,10)",CCCC(=C)C(C(=O)O)N,CCCC(=C)C(C(=O)O)N,ZJMPUKNPMYTOOX-UHFFFAOYSA-N,2-amino-3-methylidenehexanoic acid,171 °C
1054,142,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",CC1=NC=C(C(=C1O)CO)CO,CC1=NC=C(C(=C1O)CO)CO,LXNHXLLTXMVWPM-UHFFFAOYSA-N,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",159-162 °C
4624,142,"InChI=1S/C8H11NO3/c9-2-1-5-3-7(11)8(12)4-6(5)10/h3-4,10-12H,1-2,9H2",C1=C(C(=CC(=C1O)O)O)CCN,C1=C(C(=CC(=C1O)O)O)CCN,DIVDFFZHCJEHGG-UHFFFAOYSA-N,"5-(2-aminoethyl)benzene-1,2,4-triol",232 °C
6019,142,"InChI=1S/C8H11NO3.ClH/c1-5-8(12)7(4-11)6(3-10)2-9-5;/h2,10-12H,3-4H2,1H3;1H",CC1=NC=C(C(=C1O)CO)CO.Cl,CC1=NC=C(C(=C1O)CO)CO.Cl,ZUFQODAHGAHPFQ-UHFFFAOYSA-N,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol;hydrochloride",207 °C
7591,142,"InChI=1S/C9H11NO2/c1-2-12-9(11)10-8-6-4-3-5-7-8/h3-7H,2H2,1H3,(H,10,11)",CCOC(=O)NC1=CC=CC=C1,CCOC(=O)NC1=CC=CC=C1,LBKPGNUOUPTQKA-UHFFFAOYSA-N,ethyl N-phenylcarbamate,52-53 °C
12836,142,InChI=1S/C12H10AsCl/c14-13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,C1=CC=C(C=C1)[As](C2=CC=CC=C2)Cl,C1=CC=C(C=C1)[As](C2=CC=CC=C2)Cl,YHHKGKCOLGRKKB-UHFFFAOYSA-N,chloro(diphenyl)arsane,38-44 °C
17050,142,"InChI=1S/C9H17NO2/c1-4-9(11)12-8-7-10(5-2)6-3/h4H,1,5-8H2,2-3H3",CCN(CC)CCOC(=O)C=C,CCN(CC)CCOC(=O)C=C,QHVBLSNVXDSMEB-UHFFFAOYSA-N,2-(diethylamino)ethyl prop-2-enoate,< -60 °C
22013,142,"InChI=1S/C10H12O/c1-7-4-9(3)10(6-11)5-8(7)2/h4-6H,1-3H3",CC1=CC(=C(C=C1C)C=O)C,CC1=CC(=C(C=C1C)C=O)C,LROJZZICACKNJL-UHFFFAOYSA-N,"2,4,5-trimethylbenzaldehyde",43.5 °C
22563,142,"InChI=1S/C6H10ClN5/c1-3(2)9-6-11-4(7)10-5(8)12-6/h3H,1-2H3,(H3,8,9,10,11,12)",CC(C)NC1=NC(=NC(=N1)N)Cl,CC(C)NC1=NC(=NC(=N1)N)Cl,DFWFIQKMSFGDCQ-UHFFFAOYSA-N,"6-chloro-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",136 °C
34665,142,"InChI=1S/C5H6N2O2S/c6-5-7-3(2-10-5)1-4(8)9/h2H,1H2,(H2,6,7)(H,8,9)",C1=C(N=C(S1)N)CC(=O)O,C1=C(N=C(S1)N)CC(=O)O,DYCLHZPOADTVKK-UHFFFAOYSA-N,"2-(2-amino-1,3-thiazol-4-yl)acetic acid","266 °F (Decomposes) (NTP, 1992)"
61634,142,"InChI=1S/C7H10O2/c1-4-3-5(2)7(9)6(4)8/h4-5H,3H2,1-2H3",CC1CC(C(=O)C1=O)C,CC1CC(C(=O)C1=O)C,MIDXCONKKJTLDX-UHFFFAOYSA-N,"3,5-dimethylcyclopentane-1,2-dione",91 - 92 °C
160157,142,"InChI=1S/C8H11NO3.ClH/c9-2-1-5-3-7(11)8(12)4-6(5)10;/h3-4,10-12H,1-2,9H2;1H",C1=C(C(=CC(=C1O)O)O)CCN.Cl,C1=C(C(=CC(=C1O)O)O)CCN.Cl,QLMRJHFAGVFUAC-UHFFFAOYSA-N,"5-(2-aminoethyl)benzene-1,2,4-triol;hydrochloride","450 to 451 °F (Decomposes) (NTP, 1992)"
439260,142,"InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1",C1=CC(=C(C=C1[C@H](CN)O)O)O,C1=CC(=C(C=C1C(CN)O)O)O,SFLSHLFXELFNJZ-QMMMGPOBSA-N,"4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol",217dec °C
579675,142,"InChI=1S/C8H10O2/c1-5-4-6(2)10-8(5)7(3)9/h4H,1-3H3",CC1=CC(=C(O1)C(=O)C)C,CC1=CC(=C(O1)C(=O)C)C,SQWQZVDNBPEROH-UHFFFAOYSA-N,"1-(3,5-dimethylfuran-2-yl)ethanone",17.00 to 18.00 °C. @ 760.00 mm Hg
707035,142,"InChI=1S/C7H6N2S/c10-7-8-5-3-1-2-4-6(5)9-7/h1-4H,(H2,8,9,10)",C1=CC=C2C(=C1)NC(=S)N2,C1=CC=C2C(=C1)NC(=S)N2,YHMYGUUIMTVXNW-UHFFFAOYSA-N,"1,3-dihydrobenzimidazole-2-thione","577 to 579 °F (NTP, 1992)"
1548907,142,"InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-,10?/m0/s1",CS(=O)CC[C@@H](C(=O)[O-])[NH3+],CS(=O)CCC(C(=O)[O-])[NH3+],QEFRNWWLZKMPFJ-YGVKFDHGSA-N,(2S)-2-azaniumyl-4-methylsulfinylbutanoate,232 - 234 °C
10855600,142,"InChI=1S/C6H11NO3/c1-4(2)6(10)7-3-5(8)9/h4H,3H2,1-2H3,(H,7,10)(H,8,9)",CC(C)C(=O)NCC(=O)O,CC(C)C(=O)NCC(=O)O,DCICDMMXFIELDF-UHFFFAOYSA-N,2-(2-methylpropanoylamino)acetic acid,82.5 °C
20473996,142,"InChI=1S/C7H12O4/c1-7(2,3-5(8)9)4-6(10)11/h3-4H2,1-2H3,(H,8,9)(H,10,11)",[H+].[H+].CC(C)(CC(=O)[O-])CC(=O)[O-],[H+].[H+].CC(C)(CC(=O)[O-])CC(=O)[O-],DUHQIGLHYXLKAE-UHFFFAOYSA-N,"3,3-dimethylpentanedioate;hydron",103.5 °C
25202259,142,"InChI=1S/C5H11NO3S/c1-2-10(9)3-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)",CCS(=O)CC(C(=O)[O-])[NH3+],CCS(=O)CC(C(=O)[O-])[NH3+],CSZTZFUEOCFFJH-UHFFFAOYSA-N,2-azaniumyl-3-ethylsulfinylpropanoate,157 - 159 °C
137319715,142,"InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)",CN1CC(=O)NC1=N,CN1CC(=O)NC1=N,DDRJAANPRJIHGJ-UHFFFAOYSA-N,2-imino-1-methylimidazolidin-4-one,303 °C (decomposes)
3306,141,"InChI=1S/C10H15NO2/c1-2-11-7-10(13)8-4-3-5-9(12)6-8/h3-6,10-13H,2,7H2,1H3",CCNCC(C1=CC(=CC=C1)O)O,CCNCC(C1=CC(=CC=C1)O)O,SQVIAVUSQAWMKL-UHFFFAOYSA-N,3-[2-(ethylamino)-1-hydroxyethyl]phenol,208-209
3866,141,"InChI=1S/C8H9NO2/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5,7H,9H2,(H,10,11)",C1=CC=C(C=C1)C(C(=O)O)N,C1=CC=C(C=C1)C(C(=O)O)N,ZGUNAGUHMKGQNY-UHFFFAOYSA-N,2-amino-2-phenylacetic acid,290 °C
4266,141,"InChI=1S/C4H6N2O2/c5-2-3-1-4(7)6-8-3/h1H,2,5H2,(H,6,7)",C1=C(ONC1=O)CN,C1=C(ONC1=O)CN,ZJQHPWUVQPJPQT-UHFFFAOYSA-N,"5-(aminomethyl)-1,2-oxazol-3-one","347 °F decomposes (EPA, 1998)"
4374,141,"InChI=1S/C11H17NO/c1-9(12(2)3)11(13)10-7-5-4-6-8-10/h4-9,11,13H,1-3H3",CC(C(C1=CC=CC=C1)O)N(C)C,CC(C(C1=CC=CC=C1)O)N(C)C,FMCGSUUBYTWNDP-UHFFFAOYSA-N,2-(dimethylamino)-1-phenylpropan-1-ol,87.5 °C
5634,141,"InChI=1S/C11H20O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2H,1,3-10H2,(H,12,13)",C=CCCCCCCCCC(=O)O,C=CCCCCCCCCC(=O)O,FRPZMMHWLSIFAZ-UHFFFAOYSA-N,undec-10-enoic acid,24.5
5906,141,"InChI=1S/C9H13NO2/c1-6(10)9(12)7-3-2-4-8(11)5-7/h2-6,9,11-12H,10H2,1H3/t6-,9-/m0/s1",C[C@@H]([C@@H](C1=CC(=CC=C1)O)O)N,CC(C(C1=CC(=CC=C1)O)O)N,WXFIGDLSSYIKKV-RCOVLWMOSA-N,"3-[(1R,2S)-2-amino-1-hydroxypropyl]phenol",107.5°C
7101,141,InChI=1S/C12H9Br/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,C1=CC=C(C=C1)C2=CC=C(C=C2)Br,C1=CC=C(C=C1)C2=CC=C(C=C2)Br,PKJBWOWQJHHAHG-UHFFFAOYSA-N,1-bromo-4-phenylbenzene,"196.2 °F (NTP, 1992)"
7102,141,"InChI=1S/C12H11N/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,13H2",C1=CC=C(C=C1)C2=CC=C(C=C2)N,C1=CC=C(C=C1)C2=CC=C(C=C2)N,DMVOXQPQNTYEKQ-UHFFFAOYSA-N,4-phenylaniline,"127 °F (NTP, 1992)"
7103,141,"InChI=1S/C12H10O/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9,13H",C1=CC=C(C=C1)C2=CC=C(C=C2)O,C1=CC=C(C=C1)C2=CC=C(C=C2)O,YXVFYQXJAXKLAK-UHFFFAOYSA-N,4-phenylphenol,164-165 °C
