cid,complexity,inchi,isosmiles,canonicalsmiles,inchikey,iupacname,Melting Point 1
7346,141,"InChI=1S/C8H14O3/c1-5(2)7(9)11-8(10)6(3)4/h5-6H,1-4H3",CC(C)C(=O)OC(=O)C(C)C,CC(C)C(=O)OC(=O)C(C)C,LSACYLWPPQLVSM-UHFFFAOYSA-N,2-methylpropanoyl 2-methylpropanoate,-53.5 °C
10758,141,"InChI=1S/C8H7NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H",C1=CC=C(C=C1)C(C#N)O,C1=CC=C(C=C1)C(C#N)O,NNICRUQPODTGRU-UHFFFAOYSA-N,2-hydroxy-2-phenylacetonitrile,"14 °F (also given as 72 °F) (NTP, 1992)"
10871,141,"InChI=1S/C8H8ClNO/c1-6(11)10-8-4-2-7(9)3-5-8/h2-5H,1H3,(H,10,11)",CC(=O)NC1=CC=C(C=C1)Cl,CC(=O)NC1=CC=C(C=C1)Cl,GGUOCFNAWIODMF-UHFFFAOYSA-N,N-(4-chlorophenyl)acetamide,178-179 °C
16323,141,InChI=1S/C12H9Cl/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,C1=CC=C(C=C1)C2=CC=C(C=C2)Cl,C1=CC=C(C=C1)C2=CC=C(C=C2)Cl,FPWNLURCHDRMHC-UHFFFAOYSA-N,1-chloro-4-phenylbenzene,"171.9 °F (NTP, 1992)"
22044,141,"InChI=1S/C8H6BrN/c9-8(6-10)7-4-2-1-3-5-7/h1-5,8H",C1=CC=C(C=C1)C(C#N)Br,C1=CC=C(C=C1)C(C#N)Br,XUHFBOUSHUEAQZ-UHFFFAOYSA-N,2-bromo-2-phenylacetonitrile,77 °F
64782,141,"InChI=1S/C11H17NO/c1-9(12(2)3)11(13)10-7-5-4-6-8-10/h4-9,11,13H,1-3H3/t9-,11-/m0/s1",C[C@@H]([C@@H](C1=CC=CC=C1)O)N(C)C,CC(C(C1=CC=CC=C1)O)N(C)C,FMCGSUUBYTWNDP-ONGXEEELSA-N,"(1R,2S)-2-(dimethylamino)-1-phenylpropan-1-ol",208
145745,141,"InChI=1S/C8H13NO/c10-8-4-6-2-1-3-7(5-8)9-6/h6-7,9H,1-5H2",C1CC2CC(=O)CC(C1)N2,C1CC2CC(=O)CC(C1)N2,JIYPUEZSSJAXBO-UHFFFAOYSA-N,9-azabicyclo[3.3.1]nonan-3-one,123 °C
169110,141,"InChI=1S/C5H7NOS/c1-4(7)5-6-2-3-8-5/h2-3H2,1H3",CC(=O)C1=NCCS1,CC(=O)C1=NCCS1,FZOZFDAMVVEZSJ-UHFFFAOYSA-N,"1-(4,5-dihydro-1,3-thiazol-2-yl)ethanone",25 - 26 °C
439391,141,"InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)/t3-/m1/s1",C(CC(=O)O)[C@H](C(=O)O)O,C(CC(=O)O)C(C(=O)O)O,HWXBTNAVRSUOJR-GSVOUGTGSA-N,(2R)-2-hydroxypentanedioic acid,> 300 °C
637568,141,"InChI=1S/C6H8O4/c1-9-5(7)3-4-6(8)10-2/h3-4H,1-2H3/b4-3+",COC(=O)/C=C/C(=O)OC,COC(=O)C=CC(=O)OC,LDCRTTXIJACKKU-ONEGZZNKSA-N,dimethyl (E)-but-2-enedioate,102
5371802,141,"InChI=1S/C10H10O/c1-9-4-6-10(7-5-9)3-2-8-11/h2-8H,1H3/b3-2+",CC1=CC=C(C=C1)/C=C/C=O,CC1=CC=C(C=C1)C=CC=O,DKOUYOVAEBQFHU-NSCUHMNNSA-N,(E)-3-(4-methylphenyl)prop-2-enal,41.5 °C
9837024,141,"InChI=1S/C6H11NO2S2/c1-2-3-10-11-4-5(7)6(8)9/h2,5H,1,3-4,7H2,(H,8,9)",C=CCSSCC(C(=O)O)N,C=CCSSCC(C(=O)O)N,WYQZZUUUOXNSCS-UHFFFAOYSA-N,2-amino-3-(prop-2-enyldisulfanyl)propanoic acid,187 - 188 °C
12387012,141,"InChI=1S/C10H14O3/c1-7(11)10(12)8-3-5-9(13-2)6-4-8/h3-7,10-12H,1-2H3/t7-,10+/m0/s1",C[C@@H]([C@H](C1=CC=C(C=C1)OC)O)O,CC(C(C1=CC=C(C=C1)OC)O)O,MRDZSBVJWOXBRW-OIBJUYFYSA-N,"(1S,2S)-1-(4-methoxyphenyl)propane-1,2-diol",118 - 119 °C
23663626,141,"InChI=1S/C8H8O3.Na/c1-11-8(10)6-2-4-7(9)5-3-6;/h2-5,9H,1H3;/q;+1/p-1",COC(=O)C1=CC=C(C=C1)[O-].[Na+],COC(=O)C1=CC=C(C=C1)[O-].[Na+],PESXGULMKCKJCC-UHFFFAOYSA-M,sodium;4-methoxycarbonylphenolate,"The white precipitate formed by acidifying with hydrochloric acid a 10 % (w/v) aqueous solution of the sodium derivative of methylp-hydroxybenzoate (using litmus paper as indicator) shall, when washed with water and dried at 80 °C for two hours, have a melting range of 125 °C to 128 °C"
2370,140,"InChI=1S/C7H16N2O2/c1-6(11-7(8)10)5-9(2,3)4/h6H,5H2,1-4H3,(H-,8,10)/p+1",CC(C[N+](C)(C)C)OC(=O)N,CC(C[N+](C)(C)C)OC(=O)N,NZUPCNDJBJXXRF-UHFFFAOYSA-O,2-carbamoyloxypropyl(trimethyl)azanium,217 - 221 °C (chloride salt)
8621,140,"InChI=1S/C8H8Cl2O/c1-4-3-6(11)8(10)5(2)7(4)9/h3,11H,1-2H3",CC1=CC(=C(C(=C1Cl)C)Cl)O,CC1=CC(=C(C(=C1Cl)C)Cl)O,IYOLBFFHPZOQGW-UHFFFAOYSA-N,"2,4-dichloro-3,5-dimethylphenol",95-96 °C
8905,140,"InChI=1S/C6H10O4.C4H10N2/c7-5(8)3-1-2-4-6(9)10;1-2-6-4-3-5-1/h1-4H2,(H,7,8)(H,9,10);5-6H,1-4H2",C1CNCCN1.C(CCC(=O)O)CC(=O)O,C1CNCCN1.C(CCC(=O)O)CC(=O)O,BVEGEKOBSPXUJS-UHFFFAOYSA-N,hexanedioic acid;piperazine,"482 °F approximately with decomposition (NTP, 1992)"
10739,140,"InChI=1S/C12H12N2/c13-14(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,13H2",C1=CC=C(C=C1)N(C2=CC=CC=C2)N,C1=CC=C(C=C1)N(C2=CC=CC=C2)N,YHYKLKNNBYLTQY-UHFFFAOYSA-N,"1,1-diphenylhydrazine",34.5 °C; also stated as 44 °C
11576,140,"InChI=1S/C8H14O3/c1-3-4-5-11-8(10)6-7(2)9/h3-6H2,1-2H3",CCCCOC(=O)CC(=O)C,CCCCOC(=O)CC(=O)C,REIYHFWZISXFKU-UHFFFAOYSA-N,butyl 3-oxobutanoate,-35.6 °C
14264,140,InChI=1S/C3H6O3S/c4-7(5)3-1-2-6-7/h1-3H2,C1COS(=O)(=O)C1,C1COS(=O)(=O)C1,FSSPGSAQUIYDCN-UHFFFAOYSA-N,"oxathiolane 2,2-dioxide","86 °F (NIOSH, 2023)"
16719,140,"InChI=1S/C10H10N2/c11-9-5-6-10(12)8-4-2-1-3-7(8)9/h1-6H,11-12H2",C1=CC=C2C(=C1)C(=CC=C2N)N,C1=CC=C2C(=C1)C(=CC=C2N)N,OKBVMLGZPNDWJK-UHFFFAOYSA-N,"naphthalene-1,4-diamine","248 °F (NTP, 1992)"
16720,140,"InChI=1S/C10H10N2/c11-9-5-1-3-7-8(9)4-2-6-10(7)12/h1-6H,11-12H2",C1=CC2=C(C=CC=C2N)C(=C1)N,C1=CC2=C(C=CC=C2N)C(=C1)N,KQSABULTKYLFEV-UHFFFAOYSA-N,"naphthalene-1,5-diamine","374 °F (NTP, 1992)"
16797,140,"InChI=1S/C7H15NO3Si/c1-12-9-5-2-8(3-6-10-12)4-7-11-12/h2-7H2,1H3",C[Si]12OCCN(CCO1)CCO2,C[Si]12OCCN(CCO1)CCO2,DZLQWMNVOBAZGC-UHFFFAOYSA-N,"1-methyl-2,8,9-trioxa-5-aza-1-silabicyclo[3.3.3]undecane","306 °F (NTP, 1992)"
75364,140,"InChI=1S/C14H28O/c1-3-4-5-6-7-8-9-10-11-12-13-14(2)15/h3-13H2,1-2H3",CCCCCCCCCCCCC(=O)C,CCCCCCCCCCCCC(=O)C,POQLVOYRGNFGRM-UHFFFAOYSA-N,tetradecan-2-one,33 - 34 °C
5155529,140,"InChI=1S/C4H8N2S4.Zn/c7-3(8)5-1-2-6-4(9)10;/h1-2H2,(H2,5,7,8)(H2,6,9,10);",C(CNC(=[SH+])[S-])NC(=S)S.[Zn],C(CNC(=[SH+])[S-])NC(=S)S.[Zn],RGALBBQJPFDFCB-UHFFFAOYSA-N,[2-(dithiocarboxyamino)ethylamino]-sulfoniumylidenemethanethiolate;zinc,157 °C (decomposes)
6992086,140,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",C(CC(=O)N)[C@@H](C(=O)[O-])[NH3+],C(CC(=O)N)C(C(=O)[O-])[NH3+],ZDXPYRJPNDTMRX-VKHMYHEASA-N,(2S)-5-amino-2-azaniumyl-5-oxopentanoate,185 °C
84777014,140,"InChI=1S/C9H11ClO3/c1-12-7-3-6(5-11)4-8(13-2)9(7)10/h3-4,11H,5H2,1-2H3",COC1=CC(=CC(=C1Cl)OC)CO,COC1=CC(=CC(=C1Cl)OC)CO,NEORIYMPRMFPGM-UHFFFAOYSA-N,"(4-chloro-3,5-dimethoxyphenyl)methanol",83 - 85 °C
131751496,140,"InChI=1S/C6H13NOP2/c8-5-2-1-3-7(5)6(10)4-9/h6H,1-4,9-10H2",C1CC(=O)N(C1)C(CP)P,C1CC(=O)N(C1)C(CP)P,LQIAZOCLNBBZQK-UHFFFAOYSA-N,"1-[1,2-bis(phosphanyl)ethyl]pyrrolidin-2-one",110 - 180 °C (glass temperature)
1983,139,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",CC(=O)NC1=CC=C(C=C1)O,CC(=O)NC1=CC=C(C=C1)O,RZVAJINKPMORJF-UHFFFAOYSA-N,N-(4-hydroxyphenyl)acetamide,"336 to 342 °F (NTP, 1992)"
4178,139,"InChI=1S/C11H17NO/c1-8-5-4-6-9(2)11(8)13-7-10(3)12/h4-6,10H,7,12H2,1-3H3",CC1=C(C(=CC=C1)C)OCC(C)N,CC1=C(C(=CC=C1)C)OCC(C)N,VLPIATFUUWWMKC-UHFFFAOYSA-N,"1-(2,6-dimethylphenoxy)propan-2-amine",203-205 °C
7477,139,"InChI=1S/C8H7ClO2/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3",COC1=CC=C(C=C1)C(=O)Cl,COC1=CC=C(C=C1)C(=O)Cl,MXMOTZIXVICDSD-UHFFFAOYSA-N,4-methoxybenzoyl chloride,"72 °F (USCG, 1999)"
9354,139,"InChI=1S/C4H6O4S2/c5-3(6)1(9)2(10)4(7)8/h1-2,9-10H,(H,5,6)(H,7,8)",C(C(C(=O)O)S)(C(=O)O)S,C(C(C(=O)O)S)(C(=O)O)S,ACTRVOBWPAIOHC-UHFFFAOYSA-N,"2,3-bis(sulfanyl)butanedioic acid",193 °C
10918,139,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/p+1/t6-/m1/s1",C[N+](C)(C)C[C@@H](CC(=O)O)O,C[N+](C)(C)CC(CC(=O)O)O,PHIQHXFUZVPYII-ZCFIWIBFSA-O,[(2R)-3-carboxy-2-hydroxypropyl]-trimethylazanium,197 °C
12148,139,"InChI=1S/C8H10N2O/c1-6-2-4-7(5-3-6)10-8(9)11/h2-5H,1H3,(H3,9,10,11)",CC1=CC=C(C=C1)NC(=O)N,CC1=CC=C(C=C1)NC(=O)N,DMSHKWHLXNDUST-UHFFFAOYSA-N,(4-methylphenyl)urea,"361 °F (NTP, 1992)"
12679,139,"InChI=1S/C6H18N3OP/c1-7(2)11(10,8(3)4)9(5)6/h1-6H3",CN(C)P(=O)(N(C)C)N(C)C,CN(C)P(=O)(N(C)C)N(C)C,GNOIPBMMFNIUFM-UHFFFAOYSA-N,N-[bis(dimethylamino)phosphoryl]-N-methylmethanamine,"41 to 45 °F (NTP, 1992)"
13652,139,"InChI=1S/C12H12/c1-2-10-7-8-11-5-3-4-6-12(11)9-10/h3-9H,2H2,1H3",CCC1=CC2=CC=CC=C2C=C1,CCC1=CC2=CC=CC=C2C=C1,RJTJVVYSTUQWNI-UHFFFAOYSA-N,2-ethylnaphthalene,"18.7 °F (NTP, 1992)"
17783,139,"InChI=1S/C11H16O/c1-6-7(2)9(4)11(12)10(5)8(6)3/h12H,1-5H3",CC1=C(C(=C(C(=C1C)C)O)C)C,CC1=C(C(=C(C(=C1C)C)O)C)C,WALBTDFSFTVXII-UHFFFAOYSA-N,"2,3,4,5,6-pentamethylphenol",128 °C
18728,139,"InChI=1S/C8H12Br4/c9-4-8(12)5-1-2-6(10)7(11)3-5/h5-8H,1-4H2",C1CC(C(CC1C(CBr)Br)Br)Br,C1CC(C(CC1C(CBr)Br)Br)Br,PQRRSJBLKOPVJV-UHFFFAOYSA-N,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane","154 to 194 °F (NTP, 1992)"
25310,139,"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1",C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O,CC1C(C(C(C(O1)O)O)O)O,SHZGCJCMOBCMKK-JFNONXLTSA-N,"(3R,4R,5R,6S)-6-methyloxane-2,3,4,5-tetrol",122°C
26548,139,"InChI=1S/C8H7NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5H2",C1=CC(=CC=C1CC#N)O,C1=CC(=CC=C1CC#N)O,AYKYOOPFBCOXSL-UHFFFAOYSA-N,2-(4-hydroxyphenyl)acetonitrile,72 °C
31230,139,"InChI=1S/C8H10N2O/c1-6(11)10-8-4-2-7(9)3-5-8/h2-5H,9H2,1H3,(H,10,11)",CC(=O)NC1=CC=C(C=C1)N,CC(=O)NC1=CC=C(C=C1)N,CHMBIJAOCISYEW-UHFFFAOYSA-N,N-(4-aminophenyl)acetamide,"329 to 334 °F (NTP, 1992)"
62258,139,"InChI=1S/C9H11NO/c1-7(10)9(11)8-5-3-2-4-6-8/h2-7H,10H2,1H3/t7-/m0/s1",C[C@@H](C(=O)C1=CC=CC=C1)N,CC(C(=O)C1=CC=CC=C1)N,PUAQLLVFLMYYJJ-ZETCQYMHSA-N,(2S)-2-amino-1-phenylpropan-1-one,46.5 °C
80314,139,"InChI=1S/C9H16O2/c1-3-4-5-6-9(11)7-8(2)10/h3-7H2,1-2H3",CCCCCC(=O)CC(=O)C,CCCCCC(=O)CC(=O)C,KFBXUKHERGLHLG-UHFFFAOYSA-N,"nonane-2,4-dione",-18 °C
